id,host_id,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
647520,3245431,234,29,2019-04-30,0.37,1,302
803778,4230317,465,47,2019-05-31,0.67,1,277
1818411,9522475,455,93,2019-01-03,1.36,2,332
2201154,5081260,208,38,2019-06-18,0.6,1,313
6747685,29769754,499,35,2019-05-27,0.72,1,223
8254674,4910739,700,31,2019-07-01,1.29,1,54
16847069,62103724,399,51,2019-06-17,1.76,1,336
19376872,7107479,191,37,2019-05-19,1.5,1,5
20016493,142118455,1795,38,2019-06-21,1.65,1,116
22753775,168044240,265,42,2019-06-07,2.45,1,70
60164,289653,500,94,2019-06-23,0.99,1,329
494937,1527535,499,63,2019-07-07,0.76,1,26
651375,3272526,595,59,2019-06-27,0.77,1,169
951944,1408973,235,73,2019-07-05,0.94,1,44
1365028,7409102,265,95,2019-06-19,1.31,1,257
1630572,2935265,194,141,2019-06-21,2.0,2,340
1973889,3020145,106,191,2019-06-23,2.81,1,291
4479632,20431437,495,159,2019-06-12,2.83,1,129
4660022,745486,895,66,2019-06-24,1.18,1,365
7816449,1317360,500,44,2017-09-25,0.94,2,365
8943358,2695451,82,228,2019-07-05,5.11,2,28
9445593,48949937,310,117,2019-06-22,2.88,1,57
10072022,31281230,315,29,2019-06-25,1.31,1,177
11909308,4392739,290,69,2019-06-08,1.73,1,99
11920660,62316222,595,51,2019-06-06,1.29,1,347
11933676,63702305,500,72,2019-07-01,1.8,1,330
13309763,75098888,450,41,2019-04-19,1.16,1,0
13486730,3714721,101,102,2019-07-01,2.97,2,116
15218342,49645950,189,136,2019-07-06,4.09,2,30
15260962,26830685,850,32,2019-06-24,1.04,1,262
15355243,1862880,245,44,2019-06-18,1.34,1,0
16899058,112780904,459,61,2019-07-01,2.04,1,173
17151230,36579189,109,63,2018-06-25,2.23,1,0
18306444,114548258,215,83,2019-06-25,3.19,2,214
18838643,3714721,76,60,2019-06-21,2.37,2,116
18840735,130815919,205,109,2019-07-01,4.29,1,32
21638538,130201799,169,31,2019-06-30,1.54,1,69
21915201,159903889,400,42,2019-06-22,2.13,1,306
24772896,187301833,210,34,2019-06-26,2.48,1,37
25925504,192951036,129,38,2019-07-06,2.98,10,151
25927829,192951036,119,35,2019-06-23,2.75,10,156
25928236,192951036,119,42,2019-07-06,3.32,10,120
28426648,214416012,800,36,2019-07-01,3.88,1,90
30999038,231515893,183,35,2019-07-02,5.36,1,294
956412,588270,189,236,2019-06-21,3.08,2,279
5320983,588270,189,177,2019-06-09,3.33,2,235
5370580,12621774,36,69,2019-07-01,1.32,1,354
8615012,44620317,37,34,2018-09-21,0.76,4,362
9979094,51278789,36,55,2019-05-28,1.43,2,110
10142499,38260715,37,74,2019-06-30,1.73,1,135
13073701,35660592,119,37,2019-07-02,1.01,6,336
13082957,5261297,52,45,2018-08-07,1.27,1,57
15436800,67619393,37,30,2019-06-18,0.98,1,48
9704,32045,52,88,2019-06-14,1.42,1,255
54544,256161,121,104,2019-06-22,1.0,5,247
56859,256161,64,192,2019-06-03,1.84,5,245
57874,276291,155,222,2019-06-26,2.1,2,232
60666,256161,92,189,2019-06-11,1.82,5,253
128975,256161,122,116,2019-06-13,1.18,5,271
147586,709334,295,74,2019-06-16,0.76,2,264
161996,1856604,295,227,2019-06-26,2.33,1,247
163809,781647,198,42,2019-06-03,0.44,2,234
197753,964482,68,295,2019-06-12,3.9,2,188
234184,902054,325,89,2019-06-30,0.94,1,153
253623,1332108,81,72,2018-11-26,0.77,1,0
258740,1360043,58,143,2018-06-30,2.83,1,0
449130,2229582,94,95,2019-06-28,1.09,1,18
540057,2653648,185,102,2019-06-13,1.19,2,91
644833,195137,433,108,2019-06-03,1.44,2,318
775280,4089511,280,97,2019-06-28,1.25,2,48
793951,4182834,78,52,2017-08-14,0.66,1,0
854521,4463092,62,45,2019-07-04,0.64,2,310
980561,15742,88,37,2018-09-08,0.48,1,47
993040,5454862,97,185,2019-06-14,2.46,1,6
1023529,5634395,52,163,2019-06-05,2.17,2,0
1112407,6105036,158,37,2019-06-23,0.49,3,314
1127140,6158233,47,61,2019-06-15,0.81,1,285
1151343,4910820,94,30,2019-07-05,0.4,1,218
1252565,6824711,58,66,2018-12-16,0.91,1,242
1342515,7281500,61,86,2019-06-30,1.83,1,233
1348118,7309232,185,141,2019-06-25,2.0,3,258
1586773,8455776,155,123,2019-06-24,1.74,2,170
1696050,4463092,71,64,2019-06-26,1.02,2,18
1937226,8826175,174,177,2019-06-11,2.62,3,165
2127713,8384058,98,37,2018-12-12,0.59,1,170
2141667,10929872,93,138,2019-06-05,2.23,1,7
2263265,9989761,81,133,2019-06-04,2.23,2,13
2407196,5905011,98,182,2019-06-23,2.85,1,312
2473611,12649246,92,173,2019-06-19,2.71,1,276
2538248,9743617,124,124,2019-06-25,1.93,2,279
2563440,8785876,68,86,2019-06-10,1.36,1,64
2563611,1163315,104,298,2019-06-27,4.67,1,42
2778250,4417252,68,31,2019-06-22,0.61,1,129
2858010,14611970,111,104,2019-06-23,1.65,1,317
2958412,15099550,290,77,2019-07-01,1.25,1,252
3201696,13789963,345,141,2019-07-05,2.34,1,273
3450210,17389236,215,107,2019-06-22,1.8,1,47
3790746,1317384,72,154,2019-06-22,2.72,2,153
3808323,265278,68,164,2019-06-21,2.85,1,87
3953585,7580038,39,33,2019-06-04,0.57,3,292
3979628,2766755,88,171,2019-06-16,2.93,2,234
4025329,9743617,129,91,2019-06-17,1.63,2,260
4183989,919218,86,34,2019-05-23,1.0,1,359
4276532,9854191,1000,38,2019-06-09,0.72,1,270
4276762,2807798,310,64,2019-07-07,1.32,2,7
4440020,195137,229,38,2019-06-03,0.75,2,332
4483672,17065184,71,211,2019-07-05,3.72,1,6
4517117,16480700,97,146,2019-06-10,2.59,7,83
4598265,23834677,155,242,2019-06-30,4.4,2,238
4632542,6762751,107,92,2019-05-20,1.64,1,157
4638967,23974215,84,38,2019-06-15,0.68,2,147
4659285,23334165,450,81,2019-06-09,1.48,3,303
5144689,26597048,117,126,2019-07-05,3.91,2,66
5192165,26856159,63,209,2019-06-13,4.12,3,274
5192219,26856159,58,194,2019-06-22,3.81,3,307
5397568,9209691,185,137,2019-06-28,2.83,2,261
5681742,4029415,62,47,2019-05-23,0.9,1,89
5826475,30242959,116,129,2019-07-02,2.5,1,89
5897622,17266994,146,67,2019-07-03,2.17,2,239
5993541,4562182,285,74,2019-05-23,1.47,4,284
6103273,4562182,285,104,2019-06-30,2.07,4,249
6107592,30080463,101,65,2019-06-22,1.28,1,138
6155877,18248926,36,84,2019-06-15,2.26,1,347
6364324,33106693,16,43,2019-07-01,1.66,3,154
6590570,9777215,177,122,2019-06-20,2.49,3,199
7194538,37633503,355,42,2019-06-22,1.03,1,116
7228259,37101663,71,66,2018-12-23,2.99,1,0
7279583,1557442,450,48,2017-09-06,1.04,1,188
7610785,39915290,299,90,2019-06-09,1.96,2,304
7744805,40703442,153,91,2018-12-31,1.95,3,4
7749818,40221604,93,100,2019-06-16,2.74,3,49
7762374,1273607,450,35,2019-06-28,0.77,1,264
7801262,2083759,104,42,2019-06-08,0.89,1,219
8054277,42535703,295,32,2017-05-09,0.7,2,0
